year,gender,Amount
1996,female,204
1996,male,880
1997,female,172
1997,male,860
1998,female,174
1998,male,789
1999,female,161
1999,male,760
2000,female,155
2000,male,756
2001,female,153
2001,male,651
2002,female,165
2002,male,658
2003,female,125
2003,male,552
2004,female,127
2004,male,505
2005,female,111
2005,male,554
2006,female,153
2006,male,643
2007,female,159
2007,male,677
2008,female,107
2008,male,689
2009,female,140
2009,male,736
2010,female,182
2010,male,729
2011,female,167
2011,male,743
2012,female,166
2012,male,722
2013,female,117
2013,male,599
2014,female,142
2014,male,558
2015,female,164
2015,male,594
2016,female,155
2016,male,629
2017,female,156
2017,male,611
2018,female,182
2018,male,477